iso_code,gdp_per_capita_2019
ABW,30645.8906024548
AFG,496.6025042585
AGO,2493.67884440177
ALB,6069.43903131027
AND,41257.816459345
ARE,45938.6073581994
ARG,9955.97478680428
ARM,4597.22887399548
ASM,12886.1359517218
ATG,18896.3721832248
AUS,55194.7585097428
AUT,49885.9947355204
AZE,4805.75371765917
BDI,234.31061590725
BEL,46716.6227467964
BEN,1130.82135339795
BFA,764.853077774946
BGD,2129.79896954606
BGR,10353.7204584127
BHR,27259.7438599327
BHS,33640.3369861278
BIH,6122.37541352353
BLR,6837.77339645635
BLZ,6171.61449761423
BMU,115798.040775578
BOL,4203.15492855788
BRA,9029.83304401079
BRB,21912.1501242857
BRN,30426.5730656528
BTN,3576.87987100503
BWA,7172.08956480028
CAF,449.228467602439
CAN,46352.8693445211
CHE,84121.9310304414
CHI,60564.6293993681
CHL,14495.716721687
CHN,10342.9009524335
CIV,2141.76836170115
CMR,1555.22660476477
COD,504.00419142286
COG,2488.42466724916
COL,6472.54544924705
COM,1510.23218151592
CPV,4380.78117331128
CRI,12884.6859951989
CUB,9232.26115935183
CUW,19220.6865793075
CYM,88254.2902486867
CYP,29227.173828125
CZE,24062.7190013343
DEU,47656.199739747
DJI,2837.16902340932
DMA,9491.14995962374
DNK,59404.2663247723
DOM,8183.01623600375
DZA,4468.45341883656
ECU,6205.05765246766
EGY,2962.98892023003
ESP,29786.5245689007
SVK,19406.0589683582
SVN,25814.1687167572
SWE,51648.9892820514
SWZ,3913.14577547336
SXM,34861.469528968
SYC,19141.5118743615
SYR,1109.53926036049
TCA,31780.5217068989
TCD,893.336441643325
TGO,826.255209019798
THA,7605.69657797759
TJK,871.022372934846
TKM,5998.0017434754
TLS,1562.36458068032
TON,4788.83342304684
TTO,17212.6128892163
TUN,3528.87213306798
TUR,9395.23378001368
TUV,5115.13075950206
TZA,1063.32250976563
UGA,822.171150036357
UKR,3619.86157226563
URY,18315.7316980028
USA,64746.4506778863
UZB,2041.38480729431
VCT,8740.59425232061
VEN,2523.11275230667
VIR,38633.5298915336
VNM,3440.90025375434
VUT,3207.44650452083
WSM,4351.94234943706
XKX,4415.99923011071
ZAF,6533.71121032856
ZMB,1258.98619844462
ZWE,2184.32923855469
