Variable,N,Mean,SD,Min,Max
vaccination_rate_pct,42,60.27404761904762,24.844132846121354,13.45,92.27
hesitancy_pct,42,26.06162054761905,12.790601313159703,1.0,53.0
dtp3_coverage_pct,42,88.4047619047619,11.695443189778771,53.0,99.0
gdp_per_capita_usd,42,17039.039500790783,20777.863507667204,496.6025042585,84121.9310304414
distrust_disagree_safe_pct,42,20.914143023809523,11.216545944867258,0.0,46.0
