Variable,Coefficient,SE,t,p
Intercept,-49.55412634370247,18.13842444971503,-2.731997284608753,0.0132
Hesitancy (per pp),-0.8298003118016668,0.2080434621854645,-3.988591148622228,0.0012
DTP3 (per pp),0.31510115774796593,0.27785960501651025,1.1340301075042658,0.2492
log(GDP),11.61149080147285,1.9863143333012023,5.845746872386939,0.0
